emoticon,cnt
_kissing_cat_,198
_alien_monster_,197
_syringe_,196
_milky_way_,193
_Statue_of_Liberty_,193
_bell_,192
_love-you_gesture_light_skin_tone_,190
_thumbs_down_dark_skin_tone_,190
_leaf_fluttering_in_wind_,189
_rugby_football_,189
_woman_tipping_hand_medium-light_skin_tone_,189
_satellite_antenna_,188
_cow_,187
_top_hat_,186
_burrito_,186
_turkey_,184
_raised_hand_medium-light_skin_tone_,184
_teacup_without_handle_,184
_waving_hand_medium_skin_tone_,183
_ship_,181
_snail_,180
_deer_,179
_potato_,178
_cat_,178
_chart_decreasing_,178
_Australia_,177
_right_arrow_curving_down_,177
_hourglass_not_done_,176
_person_gesturing_OK_,176
_woman_tipping_hand_,175
_hollow_red_circle_,175
_white_exclamation_mark_,175
_woman_dancing_medium-light_skin_tone_,173
_grapes_,173
_firecracker_,173
_person_bowing_,172
_open_book_,171
_bread_,169
_sign_of_the_horns_medium-dark_skin_tone_,169
_Scotland_,169
_Philippines_,168
_eagle_,167
_keycap_2_,167
_sparkler_,167
_computer_mouse_,165
_Chile_,164
_cut_of_meat_,161
_umbrella_with_rain_drops_,160
_man_detective_,159
_sports_medal_,159
_fallen_leaf_,159
_baby_,156
_rat_,156
_man_running_,156
_full_moon_,156
_honey_pot_,155
_TOP_arrow_,155
_speech_balloon_,154
_woman_standing_,154
_cloud_with_rain_,154
_dress_,153
_globe_with_meridians_,153
_dagger_,153
_joystick_,151
_right_anger_bubble_,151
_studio_microphone_,151
_nail_polish_light_skin_tone_,151
_baby_angel_,150
_waving_hand_medium-dark_skin_tone_,150
_sunglasses_,150
_admission_tickets_,150
_South_Korea_,149
_women_holding_hands_,149
_rabbit_,149
_woman_bowing_,149
_elephant_,148
