emoticon,cnt
_oncoming_fist_,446
_clapping_hands_medium_skin_tone_,442
_face_with_steam_from_nose_,440
_glowing_star_,436
_grinning_squinting_face_,434
_smiling_face_with_horns_,424
_backhand_index_pointing_right_light_skin_tone_,421
_frowning_face_,421
_smiling_cat_with_heart-eyes_,419
_drooling_face_,388
_flushed_face_,384
_revolving_hearts_,383
_sun_,379
_popcorn_,377
_woman_dancing_,376
_sad_but_relieved_face_,375
_winking_face_with_tongue_,361
_growing_heart_,357
_television_,355
_red_exclamation_mark_,353
_leaf_fluttering_in_wind_,346
_balloon_,345
_nerd_face_,344
_broken_heart_,340
_face_with_monocle_,320
_OK_hand_light_skin_tone_,319
_woman_facepalming_,314
_check_mark_button_,312
_face_with_raised_eyebrow_,310
_crown_,309
_face_vomiting_,307
_high_voltage_,307
_lipstick_,300
_orange_heart_,300
_thumbs_up_medium-light_skin_tone_,298
_weary_face_,294
_four_leaf_clover_,292
_heart_with_arrow_,287
_kiss_mark_,283
_stadium_,279
_star_,272
_pushpin_,269
_sun_with_face_,269
_collision_,267
_poultry_leg_,265
_folded_hands_medium-light_skin_tone_,262
_dizzy_,258
_sleepy_face_,257
_check_mark_,256
_soccer_ball_,250
_neutral_face_,246
_beating_heart_,244
_thumbs_down_light_skin_tone_,243
_backhand_index_pointing_down_light_skin_tone_,242
_double_exclamation_mark_,239
_persevering_face_,229
_woman_dancing_light_skin_tone_,228
_rose_,227
_waving_hand_,226
_exploding_head_,224
_bouquet_,217
_candle_,212
_raising_hands_,208
_victory_hand_light_skin_tone_,207
_smiling_face_with_tear_,205
_woman_facepalming_medium-light_skin_tone_,199
_confetti_ball_,198
_hundred_points_,197
_slightly_frowning_face_,196
_right_arrow_,189
_woman_shrugging_light_skin_tone_,187
_blossom_,185
_man_facepalming_light_skin_tone_,184
_man_facepalming_,182
_sneezing_face_,181
_white_heart_,181
_tired_face_,179
_megaphone_,178
_raised_hand_,174
_cross_mark_,174
_shushing_face_,171
_snowflake_,169
_flexed_biceps_light_skin_tone_,166
_cigarette_,165
_downcast_face_with_sweat_,163
_nazar_amulet_,163
_Christmas_tree_,158
_french_fries_,157
_worried_face_,157
_backhand_index_pointing_left_,156
_alarm_clock_,155
_rainbow_,155
_face_without_mouth_,155
_hibiscus_,154
_backhand_index_pointing_right_medium-light_skin_tone_,154
_handshake_,152
_clapper_board_,152
_trade_mark_,150
_droplet_,150
_hot_beverage_,147
_woozy_face_,143
_oncoming_fist_light_skin_tone_,143
_rocket_,141
_nauseated_face_,140
_shopping_bags_,140
_woman_shrugging_,139
_squinting_face_with_tongue_,139
_musical_notes_,133
_down_arrow_,132
_palms_up_together_,131
_face_with_tongue_,127
_palms_up_together_light_skin_tone_,126
_red_question_mark_,124
_film_projector_,124
_astonished_face_,122
_camera_,122
_woman_raising_hand_light_skin_tone_,118
_movie_camera_,118
_camera_with_flash_,117
_lion_,117
_lemon_,116
_man_shrugging_,114
_face_with_medical_mask_,113
_sign_of_the_horns_,112
_heart_with_ribbon_,111
_butterfly_,106
_soft_ice_cream_,105
_person_raising_hand_,104
_face_with_open_mouth_,104
_raising_hands_medium-light_skin_tone_,102
_speak-no-evil_monkey_,102
_exclamation_question_mark_,101
_video_game_,100
_ogre_,100
_anxious_face_with_sweat_,99
_https_,99
_ghost_,98
_hushed_face_,97
_gem_stone_,97
_writing_hand_,96
_books_,96
_eye_,93
_man_raising_hand_light_skin_tone_,93
_airplane_,91
_man_shrugging_light_skin_tone_,90
_confounded_face_,90
_birthday_cake_,90
_sweat_droplets_,89
_OK_hand_medium-light_skin_tone_,87
_person_raising_hand_medium-light_skin_tone_,87
_kissing_face_with_closed_eyes_,87
_hand_with_fingers_splayed_,87
_person_facepalming_,86
_shopping_cart_,85
_globe_showing_Europe-Africa_,85
_woman_shrugging_medium-light_skin_tone_,84
_flexed_biceps_medium-light_skin_tone_,84
_woman_raising_hand_,83
_kitchen_knife_,83
_tangerine_,83
_seedling_,82
_hatching_chick_,82
_artist_palette_,81
_house_,81
_nail_polish_,79
_red_apple_,79
_thumbs_down_medium-light_skin_tone_,78
_call_me_hand_,78
_sunflower_,78
_crying_cat_,78
_raising_hands_light_skin_tone_,77
