idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
bathtub,0.09523809523809523,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.09523809523809523,bathtub,20,🛁,bathtub,Objects,household
backhand_index_pointing_right_medium-light_skin_tone,,,,,,,backhand_index_pointing_right_medium-light_skin_tone,733,👉🏼,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger
supervillain_light_skin_tone,,,,,,,supervillain_light_skin_tone,1,🦹🏻,supervillain: light skin tone,People & Body,person-fantasy
woman_mountain_biking_light_skin_tone,,,,,,,woman_mountain_biking_light_skin_tone,2,🚵🏻‍♀️,woman mountain biking: light skin tone,People & Body,person-sport
woman_raising_hand_dark_skin_tone,,,,,,,woman_raising_hand_dark_skin_tone,10,🙋🏿‍♀️,woman raising hand: dark skin tone,People & Body,person-gesture
green_circle,0.03571428571428571,0.25,0.6428571428571429,0.03571428571428571,0.03571428571428571,0.0,green_circle,78,🟢,green circle,Symbols,geometric
health_worker,,,,,,,health_worker,1,🧑‍⚕️,health worker,People & Body,person-role
French_Polynesia,,,,,,,French_Polynesia,2,🇵🇫,flag: French Polynesia,Flags,country-flag
ear_light_skin_tone,0.0,0.5,0.0,0.0,0.5,0.0,ear_light_skin_tone,17,👂🏻,ear: light skin tone,People & Body,body-parts
pound_banknote,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,pound_banknote,145,💷,pound banknote,Objects,money
Tanzania,,,,,,,Tanzania,15,🇹🇿,flag: Tanzania,Flags,country-flag
ribbon,0.0,0.576271186440678,0.23728813559322035,0.11864406779661017,0.03389830508474576,0.03389830508474576,ribbon,131,🎀,ribbon,Activities,event
woman_facepalming_medium_skin_tone,0.10344827586206896,0.20689655172413793,0.14367816091954022,0.20114942528735633,0.07471264367816093,0.27011494252873564,woman_facepalming_medium_skin_tone,1701,🤦🏽‍♀️,woman facepalming: medium skin tone,People & Body,person-gesture
Dominican_Republic,,,,,,,Dominican_Republic,34,🇩🇴,flag: Dominican Republic,Flags,country-flag
infinity,0.014104372355430184,0.1227080394922426,0.019746121297602257,0.8180535966149506,0.011283497884344146,0.014104372355430184,infinity,67,♾️,infinity,Symbols,math
backhand_index_pointing_down_light_skin_tone,0.0,0.6086956521739131,0.0,0.21739130434782608,0.13043478260869565,0.043478260869565216,backhand_index_pointing_down_light_skin_tone,733,👇🏻,backhand index pointing down: light skin tone,People & Body,hand-single-finger
luggage,0.07407407407407407,0.2962962962962963,0.37037037037037035,0.07407407407407407,0.1111111111111111,0.07407407407407407,luggage,33,🧳,luggage,Travel & Places,hotel
dog_face,0.024896265560165973,0.7842323651452282,0.058091286307053944,0.058091286307053944,0.07053941908713693,0.004149377593360996,dog_face,1618,🐶,dog face,Animals & Nature,animal-mammal
breast-feeding_medium_skin_tone,,,,,,,breast-feeding_medium_skin_tone,2,🤱🏽,breast-feeding: medium skin tone,People & Body,person-role
gear,0.046052631578947366,0.4243421052631579,0.0625,0.2993421052631579,0.0625,0.10526315789473684,gear,41,⚙️,gear,Objects,tool
dragon,0.07142857142857142,0.36645962732919257,0.10869565217391304,0.2857142857142857,0.08074534161490683,0.08695652173913043,dragon,129,🐉,dragon,Animals & Nature,animal-reptile
woman_gesturing_OK,,,,,,,woman_gesturing_OK,98,🙆‍♀️,woman gesturing OK,People & Body,person-gesture
family_woman_girl,0.0,1.0,0.0,0.0,0.0,0.0,family_woman_girl,25,👩‍👧,"family: woman, girl",People & Body,family
bento_box,0.0,0.8,0.0,0.0,0.2,0.0,bento_box,42,🍱,bento box,Food & Drink,food-asian
eggplant,0.025,0.35,0.0,0.25,0.125,0.25,eggplant,287,🍆,eggplant,Food & Drink,food-vegetable
trident_emblem,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,trident_emblem,39,🔱,trident emblem,Symbols,other-symbol
ID_button,,,,,,,ID_button,14,🆔,ID button,Symbols,alphanum
loudly_crying_face,0.08416712146019041,0.41883451579649505,0.22491055727366444,0.16093626826753987,0.041598447638105635,0.0695530895640046,loudly_crying_face,136543,😭,loudly crying face,Smileys & Emotion,face-concerned
thumbs_down_medium-light_skin_tone,,,,,,,thumbs_down_medium-light_skin_tone,1580,👎🏼,thumbs down: medium-light skin tone,People & Body,hand-fingers-closed
pleading_face,0.0415625,0.68,0.121875,0.0853125,0.043125,0.028125,pleading_face,33970,🥺,pleading face,Smileys & Emotion,face-concerned
old_man_medium-light_skin_tone,,,,,,,old_man_medium-light_skin_tone,5,👴🏼,old man: medium-light skin tone,People & Body,person
Chad,,,,,,,Chad,6,🇹🇩,flag: Chad,Flags,country-flag
airplane_departure,0.1111111111111111,0.5555555555555556,0.0,0.16666666666666666,0.16666666666666666,0.0,airplane_departure,372,🛫,airplane departure,Travel & Places,transport-air
baseball,0.13761467889908258,0.46788990825688076,0.11926605504587157,0.10091743119266056,0.11926605504587157,0.05504587155963303,baseball,3904,⚾,baseball,Activities,sport
bell,0.10597826086956522,0.266304347826087,0.11956521739130435,0.20380434782608695,0.12771739130434784,0.1766304347826087,bell,192,🔔,bell,Objects,sound
grinning_cat_with_smiling_eyes,,,,,,,grinning_cat_with_smiling_eyes,223,😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face
cup_with_straw,0.0125,0.6791666666666667,0.0375,0.0375,0.20833333333333334,0.025,cup_with_straw,1998,🥤,cup with straw,Food & Drink,drink
man,0.12573562698053417,0.28712086917157087,0.11464463558171119,0.22023540063377095,0.038139429606156634,0.21412403802625624,man,67,👨,man,People & Body,person
sewing_needle,,,,,,,sewing_needle,1,🪡,sewing needle,Activities,arts & crafts
clapping_hands,0.028810408921933085,0.6895910780669146,0.04584882280049566,0.09076827757125155,0.09324659231722429,0.051734820322180915,clapping_hands,19510,👏,clapping hands,People & Body,hands
construction_worker,0.0,1.0,0.0,0.0,0.0,0.0,construction_worker,56,👷,construction worker,People & Body,person-role
person_swimming_medium-light_skin_tone,,,,,,,person_swimming_medium-light_skin_tone,2,🏊🏼,person swimming: medium-light skin tone,People & Body,person-sport
